customer_id,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
085c77ea-a982-4309-985a-28cdbe25b01a,28,10,5597.52,4,3,3,433,High Value / Loyal
085ffa21-6074-4e96-805a-78c32a0c49ec,107,11,11894.82,2,4,4,244,At Risk
0866f178-48e7-4a20-9737-52e6ed941c37,16,3,663.5,4,1,1,411,New / Promising
0874d5de-720b-49bf-904e-1b1800e3e283,180,10,11660.7,2,3,4,234,At Risk
088f92c7-9921-4cb4-954f-8ac33c370220,223,7,4768.34,1,3,3,133,At Risk
08a04415-34c5-4e23-9173-2ee4186d212d,57,9,4096.15,3,3,2,332,Low Engagement
08a7b915-e909-49cb-ab61-da84b8cc78b9,130,4,1258.93,2,2,1,221,Low Engagement
08a833f3-6b99-41a1-8bee-1ad94eb8f12f,196,1,2561.58,1,1,2,112,Low Engagement
08a8b31f-2141-412b-adbf-841b5a8e2dd9,13,15,7061.48,4,4,3,443,High Value / Loyal
08bb9194-0e14-4d79-91c7-f0d04392b143,80,11,10329.31,3,4,4,344,High Value / Loyal
08ccda6f-fcbc-449d-8564-a17012c05e55,95,19,14973.24,2,4,4,244,At Risk
08ce4873-39bf-46d2-ace7-e81cc7e9e205,52,2,1718.24,3,1,1,311,New / Promising
08e0c298-97f7-48b1-82af-07646cbb4af7,82,6,12356.13,3,2,4,324,New / Promising
08efcca1-58a7-48ae-b89d-c3f57aef12c8,32,12,10579.46,4,4,4,444,High Value / Loyal
08f109cf-8fb2-45b7-816e-cf0ec79d1786,91,4,4682.43,2,2,3,223,Low Engagement
091069a9-0f1c-4135-a0ca-a594475abe55,60,4,1911.25,3,2,1,321,New / Promising
091ce6b0-b3fd-4c8a-88c8-42764ab77d0d,203,4,5643.7,1,2,3,123,Low Engagement
09272bed-7460-4b43-84d5-58bf4d9c40e3,342,1,561.21,1,1,1,111,Low Engagement
09336038-48af-4a40-9d70-e502c23f7e08,26,7,145080.34,4,3,4,434,High Value / Loyal
093e0fb4-134e-4f06-8785-f719fedcf47a,5,1,603.96,4,1,1,411,New / Promising
09571a7d-6f2f-476a-9203-ef747c6a4b1e,54,11,6294.51,3,4,3,343,High Value / Loyal
095cff94-0575-482e-bc3a-65a3ebd05cc1,88,4,2456.03,3,2,2,322,New / Promising
096afb4e-4604-4af6-bb4b-4710418f9c8e,32,5,3304.67,4,2,2,422,New / Promising
097aa164-ba29-42f2-93b2-c5a9edb21b3e,193,7,3827.9,1,3,2,132,At Risk
097b3095-ada6-48c8-b222-5f8dfdcc9dfb,38,4,2865.85,4,2,2,422,New / Promising
097f53bc-7ec1-49cd-8ce5-2ce0fd3604c7,66,1,376.68,3,1,1,311,New / Promising
09853055-9dcb-41a7-a808-be14a39b9924,169,6,5241.78,2,2,3,223,Low Engagement
0987520b-52f3-43d5-8fe4-5b139bdb2729,79,11,9972.8,3,4,4,344,High Value / Loyal
09960b2f-f433-43b5-b6a5-8beb6c15ebc2,22,6,4248.73,4,2,2,422,New / Promising
09b3ee64-e71d-4e69-a295-dfe42be8d4b6,27,4,4863.31,4,2,3,423,New / Promising
09b880ee-9a82-4aca-b69f-ae3e3632b52f,427,5,2417.37,1,2,2,122,Low Engagement
09c46c01-06a1-4842-981f-de0c4eff1d6d,111,16,13800.62,2,4,4,244,At Risk
09c8908c-0437-47be-ab2a-6cbd96fa6c53,71,9,5854.96,3,3,3,333,High Value / Loyal
09c9bc06-1c11-4358-a047-ca68e88e5576,632,2,4015.09,1,1,2,112,Low Engagement
09d5c03b-931e-4768-b447-448363e561e7,59,6,2746.1,3,2,2,322,New / Promising
09d7ac90-0cad-4db5-9f4a-c0ce756a7f6a,232,2,1191.34,1,1,1,111,Low Engagement
09fe6772-8782-4160-941c-7080a2c5dc1f,686,1,903.73,1,1,1,111,Low Engagement
0a003e46-41df-433e-a124-8060352f574e,405,6,3034.1,1,2,2,122,Low Engagement
0a121beb-ce35-4e89-92fd-a5170e8d4d61,503,8,6944.79,1,3,3,133,At Risk
0a1ed86c-0735-445e-99ad-d3e1b47c3663,41,7,5255.46,4,3,3,433,High Value / Loyal
0a5382fe-3a4f-4afa-abf2-aab3796d4f3b,60,8,6086.89,3,3,3,333,High Value / Loyal
0a6838c0-5ca1-405a-937b-e90bb31c6a8f,80,5,6081.46,3,2,3,323,New / Promising
0a6a5e41-76b8-4c52-82ec-bb78e87f0fa3,220,1,443.45,1,1,1,111,Low Engagement
0a85bec4-e003-4d1f-be4b-862c6d4119cd,514,4,3001.98,1,2,2,122,Low Engagement
0aa4c176-d959-4620-869c-fc63896cb52c,97,18,15304.29,2,4,4,244,At Risk
0acaaf34-176b-4d82-b49c-64bca386b9bd,353,2,3800.33,1,1,2,112,Low Engagement
0adbe236-1ea2-41ed-b940-db83f68d9c31,153,2,1571.59,2,1,1,211,Low Engagement
0adeaddc-1552-49d3-a2e8-5d2ed771c9c7,239,9,6483.72,1,3,3,133,At Risk
0adf701d-bec4-435c-9840-564e7592b477,106,8,7800.59,2,3,3,233,At Risk
0ae1ee4c-de59-4a04-bb0d-d32397268c34,252,5,1816.94,1,2,1,121,Low Engagement
0aea89fe-f14f-4ff5-b9c7-18c481491582,86,13,8726.67,3,4,4,344,High Value / Loyal
0af171ac-50d0-4ce9-b93e-3e562fc6f299,75,3,2818.08,3,1,2,312,New / Promising
0af61042-4308-4883-b2d4-f68987068349,149,6,6720.07,2,2,3,223,Low Engagement
0b060ef3-e762-4beb-a5e1-1d4c5477c4fc,18,4,1645.23,4,2,1,421,New / Promising
0b1eea95-1c25-430c-b467-75931d76cbfc,71,13,5299.06,3,4,3,343,High Value / Loyal
0b314318-c516-4d14-a246-74a38f596666,66,1,2000.62,3,1,1,311,New / Promising
0b4d8621-9d37-427c-8b86-54f2b398f2c9,23,17,10244.88,4,4,4,444,High Value / Loyal
0b58f20c-2c25-4698-9f37-c0fe2028c7bb,4,4,3226.97,4,2,2,422,New / Promising
0b7558a4-8468-424e-a585-cbdecd02abd9,160,6,3895.35,2,2,2,222,Low Engagement
0b89702d-ee8d-4aa3-99bd-284982f170dc,82,6,5385.04,3,2,3,323,New / Promising
0bb27771-c79a-4cbd-ab1f-207deb622aaf,95,1,117.47,2,1,1,211,Low Engagement
0bba4131-6b3b-43ac-9f49-91947343df5c,326,14,13757.47,1,4,4,144,At Risk
0bbb947b-3cf2-46d5-bc11-f7bc9d1762a7,218,10,11158.62,1,3,4,134,At Risk
0be82b22-4d71-4720-8dc4-a81ec490a35d,54,15,7877.07,3,4,3,343,High Value / Loyal
0bea62bb-8f30-48e6-a8a5-43cbbd950773,332,7,4378.7,1,3,2,132,At Risk
0bf01dab-90ad-44c8-bdb8-221dba054544,49,4,1888.54,4,2,1,421,New / Promising
0bf951aa-d25e-4e9d-b8d7-bf3e84c7f5f5,212,2,338.63,1,1,1,111,Low Engagement
0c38a461-5318-4825-b716-e110dfd67e64,183,2,2055.04,1,1,2,112,Low Engagement
0c42747c-9aed-43b2-bea2-ae12b9ac8049,60,13,7141.37,3,4,3,343,High Value / Loyal
0c45c026-2f55-4f1d-84aa-5954d0c6e0a0,51,7,5701.32,3,3,3,333,High Value / Loyal
0c4a11b8-bff9-4d78-9915-480360e87e6f,69,1,600.9,3,1,1,311,New / Promising
0c52c5b6-b7d8-46bc-93a8-89f0214f9be9,4,9,7046.51,4,3,3,433,High Value / Loyal
0c7e151a-07e1-488b-adb2-b240a00875fd,200,1,83.83,1,1,1,111,Low Engagement
0c8b968d-d539-44da-97ae-81fa3d4465b0,918,6,10498.79,1,2,4,124,Low Engagement
0c95530e-ff02-48b5-abc4-ad8182cbf94e,88,6,4596.59,3,2,3,323,New / Promising
0c99feb6-d560-48bb-9155-d254e107231f,205,11,7345.19,1,4,3,143,At Risk
0ca27bc6-96d0-4bcf-a77f-88ffeef454d1,145,7,3737.61,2,3,2,232,At Risk
0cb1a3c1-55c3-4e1a-976a-a8962af0cc6b,84,14,8000.19,3,4,3,343,High Value / Loyal
0cc4a293-708d-4816-9311-7b5ef2297341,105,3,2444.11,2,1,2,212,Low Engagement
0ccb881e-e043-4067-8902-4e659dafe592,48,2,182.62,4,1,1,411,New / Promising
0ccf4bb1-a6cd-4cd8-a96c-3d79a09d988a,118,12,11270.69,2,4,4,244,At Risk
0cdcbb92-e148-460d-bc54-ae371d115f01,8,14,15290.9,4,4,4,444,High Value / Loyal
0d105c63-fe7b-4501-b727-d832be579e43,68,1,977.54,3,1,1,311,New / Promising
0d28a7e1-ed85-41d3-b939-3f1177039e40,269,7,6440.2,1,3,3,133,At Risk
0d361c90-d785-41d1-a1b3-d7f4b807638b,460,5,2498.26,1,2,2,122,Low Engagement
0d416301-6f4f-4105-9a62-6c0327b0d830,36,7,4578.31,4,3,3,433,High Value / Loyal
0d418bab-5404-40e8-aacd-cb010351f72d,93,4,6254.78,2,2,3,223,Low Engagement
0d4f3f9e-14f2-4d6d-b045-ec011df5d0be,39,6,6175.62,4,2,3,423,New / Promising
0d4ffdbe-badb-4efa-befd-9a1e99bcef09,187,9,7265.98,1,3,3,133,At Risk
0d57d151-f756-4644-9f5a-49645e277c78,18,2,1774.35,4,1,1,411,New / Promising
0d7272dc-272f-4d4f-8bb1-02cb4b1cc863,286,2,2397.76,1,1,2,112,Low Engagement
0d7cc4ee-8af5-401a-9077-6f5ddf3121fd,81,3,2305.38,3,1,2,312,New / Promising
0d81ab41-dba9-42d2-95c5-9ea4863dda01,62,8,6237.25,3,3,3,333,High Value / Loyal
0da38d19-36e6-474e-bcdf-0ba7c2f620b5,222,9,6146.91,1,3,3,133,At Risk
0da8d08e-07d3-4143-a5ac-12723faa31fe,49,15,7836.51,4,4,3,443,High Value / Loyal
0dd72d6e-8c63-4f1d-acb1-dabd78d253fb,71,5,6661.48,3,2,3,323,New / Promising
0dedf903-3162-4c98-be74-f346882a85b7,145,4,3895.29,2,2,2,222,Low Engagement
0df15abc-6fa2-4f6a-943a-3fe3b985f349,103,4,1808.23,2,2,1,221,Low Engagement
0df2b2dd-3e81-455b-bf98-4d338b218d65,41,4,1305.56,4,2,1,421,New / Promising
0dfefae0-e963-489e-8243-8d6242e99d0b,376,8,5955.21,1,3,3,133,At Risk
0e000e5a-26fe-44f9-8a21-143f94a2fb52,275,2,249.26,1,1,1,111,Low Engagement
0e0ab7c8-542d-4f52-aca7-16138c068e52,109,6,8470.57,2,2,4,224,Low Engagement
0e1abb7c-783a-4aad-a50b-7970c9891101,2,5,2251.6,4,2,2,422,New / Promising
0e24a221-e285-4c72-9255-d55c1a45fb3f,81,6,5232.93,3,2,3,323,New / Promising
0e258d45-3f41-45ef-acc9-dc3ad53836c7,228,1,774.51,1,1,1,111,Low Engagement
0e3b8332-b8e9-4531-9de5-3465f9b53a72,211,5,8414.1,1,2,4,124,Low Engagement
0e42abf0-62d2-4a64-897e-d7bae1f5a257,222,12,9912.84,1,4,4,144,At Risk
0e53c6e6-0760-4afe-b9b9-66856265c46b,222,12,7244.47,1,4,3,143,At Risk
0e54514a-dbc2-4f78-9384-b8acf3e10f4c,21,5,2175.17,4,2,2,422,New / Promising
0e568ef8-fe66-41ec-939c-7aa625998eea,31,11,6206.9,4,4,3,443,High Value / Loyal
0e5848b0-aa06-4b6f-b0c5-5d5c4bdeca01,124,6,6372.29,2,2,3,223,Low Engagement
0e5ce99f-c6f4-4db6-b32d-6be498335d86,135,9,5432.49,2,3,3,233,At Risk
0e6d84b9-0979-448e-830c-b80ea52197f3,22,3,2100.07,4,1,2,412,New / Promising
0e708591-093e-4481-ac1d-a5cf1ff82dc0,258,3,1326.78,1,1,1,111,Low Engagement
0e756ed0-4d96-4a3f-87b3-7b5246577999,20,2,913.76,4,1,1,411,New / Promising
0eb913b9-56ba-4f43-90c0-7edc20ae9299,56,7,4026.39,3,3,2,332,Low Engagement
0ebe2c1d-dbed-4c5d-ae74-49fb9f977f24,62,9,14344.63,3,3,4,334,High Value / Loyal
0ec4f5bf-4c75-46c6-8963-82322e16d061,5,1,266.64,4,1,1,411,New / Promising
0ec5e4fe-3ba5-4255-a64e-3d3edc012211,357,2,1478.15,1,1,1,111,Low Engagement
0eca902e-09ee-4b04-9c51-2a45a1746c5a,461,6,3469.96,1,2,2,122,Low Engagement
0f48ff0f-c5d1-4c5f-b1d7-94ab64d97114,213,6,3211.68,1,2,2,122,Low Engagement
0f6014b4-b5de-4065-b7b1-220f0cad9705,88,3,1979.85,3,1,1,311,New / Promising
0f6ae5d0-d00b-41ef-bd6f-8525d7fade3b,43,7,5833.12,4,3,3,433,High Value / Loyal
0f89ecb4-91bc-4e24-b551-79e411156223,60,7,2441.57,3,3,2,332,Low Engagement
0fa345a5-5647-4870-b227-71d3a26713af,39,13,12520.5,4,4,4,444,High Value / Loyal
0fa650eb-a3be-4e4a-aa16-1fb52fd89a10,246,1,1051.28,1,1,1,111,Low Engagement
0fd0fa7d-d0e7-45b8-af18-312ff4cacc4c,36,2,1817.91,4,1,1,411,New / Promising
0fdb2345-6a6c-4b76-8cfa-05978cb297ad,67,4,6069.57,3,2,3,323,New / Promising
0ff479fa-b816-42eb-9420-6d2491f5192c,663,6,3092.92,1,2,2,122,Low Engagement
104b1a33-e04e-4971-b4d0-9b4a1266b153,69,11,7658.37,3,4,3,343,High Value / Loyal
104d4d5b-c2ee-48cf-96b7-57e396c463aa,63,19,8466.13,3,4,4,344,High Value / Loyal
104fc67b-1a09-439b-86f7-0c6ca3f3b7c5,190,8,6399.28,1,3,3,133,At Risk
105ef695-eed6-4545-88ad-9fc831a775a1,272,4,2430.64,1,2,2,122,Low Engagement
106149d3-b134-4a27-ac0f-e8b713adc150,6,7,9246.31,4,3,4,434,High Value / Loyal
10631ebb-030b-48fa-81cb-4cd009e56d5d,86,3,4007.22,3,1,2,312,New / Promising
1066b45b-d15e-4bfc-b0bb-8b8ce474d366,42,10,8338,4,3,4,434,High Value / Loyal
106b91ed-587c-4007-a6c6-aa23d47b7190,116,10,15564.76,2,3,4,234,At Risk
107843d6-64f5-429e-ba60-7169b0b6370c,285,9,8957.68,1,3,4,134,At Risk
10bae142-6d8c-4214-9437-95a68033c81c,132,5,5833.7,2,2,3,223,Low Engagement
10c5b4fc-01c7-4e92-ae09-e50737e50d02,345,6,5586.78,1,2,3,123,Low Engagement
10da1e02-0448-40a3-9412-7f9e1107ca42,67,8,2741,3,3,2,332,Low Engagement
11175d65-35f2-411c-987b-9e7b501fdb25,402,3,2573.79,1,1,2,112,Low Engagement
11197b10-cfa8-474c-8574-decc670ebdf0,190,8,5299.7,1,3,3,133,At Risk
1121945f-9be0-4138-9edc-21bb24ebfece,89,7,8119.56,2,3,4,234,At Risk
112cacd4-442f-4a9a-9305-a40525c3f9a4,154,1,828.17,2,1,1,211,Low Engagement
1151a8bd-1491-418d-87a1-db2cc6d7b1d5,207,10,3559.51,1,3,2,132,At Risk
11580705-3f2c-4117-9e15-85661d86c09f,104,9,10067.2,2,3,4,234,At Risk
1168aea7-6eeb-4534-86cb-1ec301b645f7,190,10,8634.27,1,3,4,134,At Risk
116f1f4b-ccf1-46cd-bcab-a503621d8982,125,8,3599.49,2,3,2,232,At Risk
119464a0-ca76-4f2d-b452-5e4127bd0363,152,1,110.32,2,1,1,211,Low Engagement
119ca027-423c-4090-be92-1e8a5f68c0d2,177,8,3264.31,2,3,2,232,At Risk
11a56be2-f563-4f48-b7d8-4632f9b3c787,660,10,11997.81,1,3,4,134,At Risk
11b8f18e-546e-415f-8b5c-91b6edf906c9,69,6,6437.16,3,2,3,323,New / Promising
11bb82a4-afd5-4c9f-8333-dabeeed1966b,207,10,5971.45,1,3,3,133,At Risk
11e505aa-4f81-4de8-aecb-f9536421d48d,18,11,7427.17,4,4,3,443,High Value / Loyal
11ff3ac6-8ffd-4ff7-99ce-66a3d13a68d9,68,2,887.03,3,1,1,311,New / Promising
12088943-311a-4c4a-9f9d-74eb6c287bbb,11,4,4636.65,4,2,3,423,New / Promising
120a2293-3ade-48a3-b97c-96f5768b45f8,265,5,7462.99,1,2,3,123,Low Engagement
